,LH38_Z1_1,LH38_Z1_2,LH38_Z2_1,LH38_Z2_2,LH38_Z3_2,LH38_Z3_3,LH39_Z1_2,LH39_Z1_3,LH39_Z2_1,LH39_Z2_2,LH39_Z3_1,LH39_Z3_2,IB014_Z1_1,IB014_Z1_2,IB014_Z2_1,IB014_Z2_2,IB014_Z2_3,IB014_Z3_1,IB014_Z3_2,geneLength
Zm00001d001763,135,202,136,230,180,95,104,64,153,80,183,114,100,115,72,52,177,56,108,846
Zm00001d001766,5540,2132,7741,3677,3356,3272,2906,2804,3746,4358,3760,3787,5458,4570,10228,4040,6833,8005,5301,936
Zm00001d001770,1,0,0,5,2,20,15,11,10,13,13,16,14,12,12,6,38,4,16,4484
Zm00001d001774,6517,2393,8215,4183,4320,5121,3893,5638,5372,6333,5189,5521,4347,4699,9863,4724,7162,9127,6746,894
Zm00001d001775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051
Zm00001d001779,3469,1631,492,210,183,91,887,632,228,149,240,195,187,1106,39,24,111,22,27,1119
Zm00001d001781,19,13,18,20,38,29,17,6,15,48,30,20,27,19,17,26,19,46,23,2046
Zm00001d001784,24,27,20,30,23,29,42,32,38,56,80,79,26,60,35,70,81,94,69,2517
Zm00001d001786,1315,1341,745,1375,970,971,778,891,648,904,507,780,1037,878,746,811,686,423,652,5041
Zm00001d001790,608,559,598,674,493,336,540,331,713,623,655,573,533,600,594,666,500,795,491,3995
Zm00001d001791,176,488,307,277,281,158,183,264,151,226,257,364,197,123,38,58,262,33,59,1947
Zm00001d001796,4,12,3,7,6,1,4,5,7,13,9,3,7,3,8,0,9,1,6,1362
Zm00001d001800,447,668,279,606,573,619,401,477,312,517,326,446,400,502,274,519,355,314,450,1704
Zm00001d001804,484,349,82,188,112,40,87,61,55,99,206,106,162,206,60,118,85,180,104,5535
Zm00001d001806,49,21,47,42,36,19,83,27,77,133,72,111,127,165,74,132,69,121,180,4581
Zm00001d001811,140,183,120,136,211,129,238,158,152,288,245,226,77,141,89,141,116,122,139,3261
Zm00001d001813,636,881,842,1023,933,863,695,894,800,1062,960,907,661,997,772,950,633,1153,987,2348
Zm00001d001820,8,0,6,0,0,0,1,1,3,2,1,0,0,3,13,0,0,2,3,1577
Zm00001d001824,1040,1466,886,1316,868,905,600,252,677,722,740,580,670,1122,1286,893,732,905,1052,905
Zm00001d001825,1227,1118,1591,1376,1415,983,1215,1416,1859,2001,1820,2050,1461,1324,2310,1279,1574,1623,1636,4473
Zm00001d001826,119,87,215,245,253,245,222,85,261,296,138,271,375,558,225,258,255,342,401,1220
Zm00001d001827,360,483,344,498,482,353,450,309,501,654,478,538,438,532,364,469,341,366,472,5720
Zm00001d001828,1551,1587,1095,1816,1592,872,884,828,1295,1202,1502,1319,1413,1483,954,1015,990,1051,1206,8786
Zm00001d001832,306,324,662,270,244,199,58,101,108,326,311,231,80,211,223,152,229,427,222,756
Zm00001d001834,1340,1489,1118,1640,1271,852,1187,821,1433,1577,1622,1531,884,918,996,827,840,933,985,8094
Zm00001d001835,701,1210,791,693,55,41,274,171,250,74,14,83,30,52,25,34,127,8,18,1395
Zm00001d001837,467,655,317,522,435,270,349,321,381,316,294,314,325,432,237,271,378,216,341,3802
Zm00001d001838,0,1,0,3,2,0,1,6,3,9,3,5,0,0,0,0,0,0,0,6213
Zm00001d001841,86,65,64,86,140,223,0,0,0,0,0,0,64,70,61,100,60,84,76,4399
Zm00001d001850,2,5,2,12,3,0,2,2,1,0,1,0,15,11,13,5,6,22,8,5541
Zm00001d001852,178,67,5,0,0,8,35,20,10,4,2,1,5,16,1,0,0,0,1,813
Zm00001d001857,2,2,1,2,5,4,2,2,1,5,6,4,2,17,14,17,5,5,20,1285
Zm00001d001865,482,345,662,544,423,405,268,311,456,500,1003,784,212,316,366,455,298,576,492,783
Zm00001d001868,1374,914,842,952,718,607,890,924,926,1164,828,1089,794,908,791,778,767,821,967,2611
Zm00001d001870,449,512,423,468,353,257,336,328,420,372,338,312,460,451,265,396,299,339,326,2463
Zm00001d001871,143,100,164,228,168,130,216,208,193,463,324,218,90,110,82,190,59,139,149,2668
Zm00001d001877,325,417,292,562,455,295,337,198,400,570,429,423,181,178,211,156,474,111,212,3439
Zm00001d001879,1172,577,534,544,421,357,725,543,621,825,491,413,1218,733,1286,645,751,624,560,8072
Zm00001d001883,800,796,460,831,540,807,447,1173,428,669,473,505,870,933,752,857,1712,829,970,3617
Zm00001d001884,688,895,535,940,826,605,683,532,764,991,906,884,585,743,572,624,448,512,594,5426
Zm00001d001885,0,0,0,0,0,2,0,0,2,1,2,0,0,0,0,1,1,1,0,1339
Zm00001d001887,0,0,3,1,1,4,0,0,5,4,8,1,0,0,1,4,1,0,9,9684
Zm00001d001895,1074,1192,839,1422,1116,875,839,882,991,1132,1032,1150,1069,1336,1002,1270,1035,1150,1153,5776
Zm00001d001902,66,94,104,122,58,38,82,43,149,116,82,96,19,21,24,28,47,18,47,3300
Zm00001d001905,75,120,80,145,167,84,108,79,151,189,114,139,61,105,103,119,117,142,130,669
Zm00001d001906,21,19,29,37,23,25,39,41,28,58,19,23,14,42,28,38,10,29,25,4528
Zm00001d001908,222,370,252,419,403,400,289,334,259,478,292,376,805,838,953,999,627,1419,1022,7957
Zm00001d001909,125,127,165,191,170,91,181,120,226,222,244,226,219,257,208,129,180,181,228,3413
Zm00001d001910,49,93,53,100,87,31,50,60,46,69,55,49,69,76,49,71,29,60,50,5677
Zm00001d001911,73,161,118,177,202,209,26,24,9,35,41,18,0,0,0,0,0,1,0,956
Zm00001d001913,3308,4445,2380,4437,4889,4160,3373,4059,2888,4249,3420,3697,2587,4349,2699,4661,2243,3723,4253,3157
Zm00001d001914,421,482,426,674,515,396,494,618,566,735,591,645,606,637,587,691,606,650,740,4724
Zm00001d001916,53,107,69,130,79,52,57,104,83,68,148,80,69,112,44,39,163,34,95,3164
Zm00001d001924,67,93,81,91,46,51,192,43,192,330,225,314,190,336,395,298,225,625,405,3606
Zm00001d001926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090
Zm00001d001927,1,0,1,1,0,0,1,2,1,1,0,0,11,2,1,0,1,1,1,1544
Zm00001d001941,1431,1085,1294,987,977,820,705,834,1092,863,1863,1469,1368,1381,1386,962,1512,1406,1479,3620
Zm00001d001944,1414,2610,2613,3454,3371,1257,1089,1179,2048,2042,1952,2226,1806,2018,2533,1850,1301,3177,2526,2691
Zm00001d001947,989,823,862,702,563,461,778,482,1050,886,1029,921,754,882,824,834,842,694,807,3823
Zm00001d001952,367,372,315,342,273,191,248,208,250,325,308,261,276,421,282,335,254,350,333,7108
Zm00001d001959,989,1362,813,1162,1035,817,1464,1539,1733,1306,1485,1557,862,1220,582,1052,910,778,991,6163
Zm00001d001960,3,0,2,3,11,19,0,0,1,84,9,44,0,0,9,15,4,9,2,1769
Zm00001d001961,14,4,24,8,13,11,4,1,11,10,3,3,7,4,29,15,22,13,13,711
Zm00001d001964,75,69,28,37,55,27,30,17,19,20,31,11,18,31,12,9,29,16,11,429
Zm00001d001973,296,533,308,695,840,669,487,549,463,805,669,616,64,141,136,159,154,167,226,3965
Zm00001d001974,242,281,213,337,365,255,269,168,267,482,383,305,155,217,221,235,188,247,296,5167
Zm00001d001976,181,155,167,104,38,60,62,441,76,254,28,45,13,14,45,18,91,22,38,2330
Zm00001d001977,246,332,234,471,510,460,89,371,79,47,120,88,0,0,0,0,0,0,0,1628
Zm00001d001978,1336,1042,1106,1433,1324,581,847,722,1258,1277,1513,1116,749,769,785,738,934,755,791,25730
Zm00001d001979,1583,1874,1487,1847,1781,1253,1594,1084,2386,2773,3356,2874,3356,3198,4184,3339,2194,4565,4070,2462
Zm00001d001980,189,207,173,241,206,151,182,146,200,238,278,220,186,212,200,186,177,206,214,4696
Zm00001d001987,42,69,36,103,158,162,86,65,62,123,118,93,64,109,74,147,103,103,125,3543
Zm00001d001990,3,12,3,25,14,7,4,6,4,4,5,7,4,9,4,4,8,1,8,252
Zm00001d001993,14,8,32,14,24,35,11,26,53,67,148,135,73,106,234,222,206,138,259,3162
Zm00001d001999,3126,3215,1860,3073,2355,1572,2526,1929,2722,2910,3591,3033,3188,4305,2123,3214,1730,2636,2923,4706
Zm00001d002006,11503,12120,11300,9825,4918,4298,7432,8122,9478,7503,6967,6833,8013,10646,8048,7316,7915,9287,6879,7059
